GeneID	ANNOTATION_SYMBOL	NAME	ISC	EB	EC	EE	VM
FBgn0003980	CG9046	Vitelline membrane 26Ab	0.440	0.057	0.272	1.120	0.870
FBgn0003983	CG9271	Vitelline membrane 34Ca	0.268	0.063	0.044	0.134	0.016
FBgn0003984	CG10491	vein	1.139	1.160	0.742	0.628	0.831
FBgn0003996	CG2759	white	97.806	8.945	198.739	226.487	174.804
FBgn0003997	CG5123	Wrinkled	8.965	11.200	2.896	1.763	2.945
FBgn0004003	CG7225	windbeutel	1.954	3.677	1.751	2.865	4.275
FBgn0004009	CG4889	wingless	0.317	0.124	0.124	0.016	0.928
FBgn0004028	CG7178	wings up A	0.029	0.088	0.125	0.079	0.763
FBgn0004034	CG3757	yellow	0.023	0.021	0.006	0.006	0.029
FBgn0004045	CG2985	Yolk protein 1	0.080	0.235	2.410	0.570	37.801
FBgn0004047	CG11129	Yolk protein 3	0.263	36.103	48.801	0.176	26.354
FBgn0004049	CG9764	yurt	1.533	1.527	1.939	1.906	1.700
FBgn0004050	CG7803	zeste	2.560	2.391	2.077	1.509	1.449
FBgn0004052	CG17962	Z600	0.516	1.709	0.684	0.240	0.152
FBgn0004053	CG1046	zerknullt	0.006	0.007	0.116	0.005	0.011
FBgn0004054	CG1048	zerknullt-related	0.000	0.000	0.000	0.005	0.011
FBgn0004055	CG3533	unzipped	0.708	1.746	1.060	1.772	1.004
FBgn0004057	CG12529	Zwischenferment	0.415	3.313	1.878	0.614	3.716
FBgn0004066	CG3422	Proteasome alpha4 subunit	92.518	120.159	133.992	107.191	125.216
FBgn0004087	CG14887	Dihydrofolate reductase	17.695	21.368	24.727	9.795	12.410
FBgn0004101	CG3411	blistered	0.581	0.459	0.594	1.110	0.581
FBgn0004102	CG12154	ocelliless	0.015	0.010	0.017	0.015	0.010
FBgn0004103	CG5650	Protein phosphatase 1 at 87B	73.762	76.444	77.242	57.917	65.139
FBgn0004106	CG5363	cdc2	14.292	3.372	2.230	1.081	2.652
FBgn0004107	CG10498	cdc2c	0.923	1.107	0.730	0.750	0.463
FBgn0004108	CG9704	Neurotactin	2.421	0.537	1.508	0.144	0.265
FBgn0004110	CG7895	tinman	0.071	0.072	0.022	0.101	0.054
FBgn0004117	CG4843	Tropomyosin 2	0.031	0.183	0.025	0.083	1.381
FBgn0004118	CG6798	nicotinic Acetylcholine Receptor beta2	0.005	0.036	0.123	0.154	0.046
FBgn0004132	CG30498	boca	79.985	59.713	70.372	74.787	54.843
FBgn0004133	CG1363	blown fuse	0.419	0.921	1.031	0.681	1.020
FBgn0004143	CG14426	nullo	0.006	0.034	0.166	0.047	0.021
FBgn0004167	CG12008	karst	2.730	3.688	3.522	1.912	2.295
FBgn0004168	CG16720	5-hydroxytryptamine (serotonin) receptor 1A	0.088	0.066	0.058	8.373	0.953
FBgn0004169	CG7107	upheld	0.017	0.033	0.077	0.980	0.240
FBgn0004170	CG3827	scute	2.554	0.602	0.386	0.147	0.411
FBgn0004171	CG18396	Male-specific RNA 98Cb	0.005	0.118	0.004	0.075	0.009
FBgn0004172	CG17946	Male-specific RNA 84Da	0.000	0.000	0.000	0.000	0.000
FBgn0004173	CG17934	Male-specific RNA 84Db	0.000	0.000	0.000	0.020	0.056
FBgn0004174	CG17945	Male-specific RNA 84Dc	0.042	0.048	0.024	0.062	0.016
FBgn0004175	CG17935	Male-specific RNA 84Dd	0.000	0.000	0.000	0.012	0.008
FBgn0004177	CG7109	microtubule star	374.495	259.485	335.717	368.822	261.548
FBgn0004179	CG6395	Cysteine string protein	5.104	8.457	8.738	10.459	6.844
FBgn0004181	CG2668	Protein ejaculatory bulb	0.012	0.132	0.124	0.094	0.097
FBgn0004183	CR32862	small nuclear RNA U1 at 82Eb	0.289	0.450	0.049	0.085	0.083
FBgn0004185	CR31341	small nuclear RNA U1 at 95Ca	0.018	0.000	0.000	0.000	0.000
FBgn0004186	CR32866	small nuclear RNA U1 at 95Cb	0.000	0.019	0.000	0.016	0.000
FBgn0004187	CR31185	small nuclear RNA U1 at 95Cc	0.000	0.000	0.000	0.043	0.000
FBgn0004188	CR31379	small nuclear RNA U6 at 96Aa	0.036	0.038	0.075	0.290	0.130
FBgn0004189	CR32867	small nuclear RNA U6 at 96Ab	0.000	0.057	0.039	0.384	0.095
FBgn0004190	CR31539	small nuclear RNA U6 at 96Ac	0.276	0.069	0.027	0.025	0.048
FBgn0004191	CR31850	small nuclear RNA U2 at 34ABa	1.482	0.403	0.093	0.293	0.315
FBgn0004192	CR31854	small nuclear RNA U2 at 34ABb	0.000	0.043	0.000	0.031	0.123
FBgn0004197	CG6127	Serrate	0.109	0.400	0.203	0.048	0.536
FBgn0004198	CG11387	cut	0.024	0.032	0.072	0.044	0.039
FBgn0004227	CG4211	no on or off transient A	2.683	2.217	4.306	4.869	3.115
FBgn0004228	CG7936	midgut expression 1	34.426	100.884	165.868	135.690	132.045
FBgn0004237	CG12749	Heterogeneous nuclear ribonucleoprotein at 87F	20.392	23.684	20.458	20.449	15.766
FBgn0004240	CG12763	Diptericin	0.713	0.299	76.750	0.313	0.130
FBgn0004242	CG3139	Synaptotagmin 1	0.074	0.036	0.129	5.185	0.087
FBgn0004244	CG10537	Resistant to dieldrin	0.060	0.031	0.375	0.398	0.058
FBgn0004359	CG5507	Transcript 48	0.421	1.017	0.500	2.193	1.147
FBgn0004360	CG1916	Wnt oncogene analog 2	0.049	0.856	0.080	0.080	0.070
FBgn0004362	CG17950	High mobility group protein D	97.460	38.057	31.129	21.009	14.395
FBgn0004363	CG6647	porin	159.202	197.233	172.930	203.210	145.492
FBgn0004364	CG8896	18 wheeler	2.606	2.474	1.101	2.339	1.013
FBgn0004366			0.045	0.009	0.027	0.045	0.018
FBgn0004367	CG4252	meiotic 41	0.266	0.138	0.228	0.137	0.077
FBgn0004368	CG6899	Protein tyrosine phosphatase 4E	0.319	0.553	0.990	1.544	1.047
FBgn0004369	CG11516	Protein tyrosine phosphatase 99A	1.196	1.343	1.071	1.866	1.029
FBgn0004370	CG1817	Protein tyrosine phosphatase 10D	0.224	0.152	0.097	0.182	0.167
FBgn0004372	CG2075	always early	0.000	0.001	0.003	0.001	0.001
FBgn0004373	CG7004	four wheel drive	1.871	2.171	2.331	2.739	2.527
FBgn0004374	CG10718	nebbish	0.484	1.090	0.615	0.367	0.578
FBgn0004378	CG9191	Kinesin-like protein at 61F	0.896	0.175	0.169	0.088	0.234
FBgn0004379	CG10923	Kinesin-like protein at 67A	0.264	0.148	0.068	0.124	0.122
FBgn0004380	CG10642	Kinesin-like protein at 64D	2.095	3.529	4.453	3.406	4.057
FBgn0004381	CG7293	Kinesin-like protein at 68D	1.277	2.720	1.934	1.894	1.779
FBgn0004387	CG5658	Kinesin-like protein at 98A	1.086	1.845	2.033	1.899	1.866
FBgn0004389	CG1480	bottleneck	0.339	0.806	0.747	0.810	1.256
FBgn0004390	CG6721	Ras GTPase activating protein 1	2.078	2.083	1.843	1.415	1.176
FBgn0004391	CG9198	shattered	1.149	1.475	0.988	0.790	0.577
FBgn0004394	CG12287	POU domain protein 2	0.193	1.631	1.373	0.542	2.231
FBgn0004395	CG4620	unkempt	2.988	1.349	1.946	2.083	1.710
FBgn0004396	CG7450	Cyclic-AMP response element binding protein A	6.479	8.290	10.552	8.482	7.242
FBgn0004397	CG3299	Vinculin	39.209	42.162	32.228	5.813	13.468
FBgn0004400	CG10683	rhino	0.023	0.080	0.019	0.041	0.059
FBgn0004401	CG6143	Protein on ecdysone puffs	13.519	6.788	7.062	8.549	5.075
FBgn0004403	CG1524	Ribosomal protein S14a	2824.033	3024.496	2644.047	1235.884	1911.786
FBgn0004404	CG1527	Ribosomal protein S14b	1482.103	1237.777	1492.941	831.254	1059.150
FBgn0004406	CG8987	tamas	0.830	1.862	1.819	0.954	1.156
FBgn0004407	CG33650	DNA polymerase gamma 35kD	0.000	0.000	0.000	0.000	0.000
FBgn0004414	CG14560	male-specific opa containing gene	0.010	0.028	0.039	0.015	0.013
FBgn0004419	CG4916	maternal expression at 31B	4.529	4.587	5.164	3.792	3.326
FBgn0004425	CG1179	Lysozyme B	51.935	0.705	5.863	441.091	131.868
FBgn0004426	CG9111	Lysozyme C	1.854	0.879	0.124	22.121	12.057
FBgn0004427	CG9118	Lysozyme D	40.224	0.139	2.375	101.271	63.946
FBgn0004428	CG1180	Lysozyme E	7.280	0.381	6.162	187.023	22.287
FBgn0004429	CG9116	Lysozyme P	1059.138	0.822	24.062	940.253	1215.181
FBgn0004430	CG1165	Lysozyme S	6.065	0.053	0.774	51.451	0.183
FBgn0004431	CG9120	Lysozyme X	4.723	19.340	127.544	9.995	91.176
FBgn0004432	CG9916	Cyclophilin 1	1757.047	1560.462	1599.103	835.807	1094.712
FBgn0004435	CG17759	G protein alpha q subunit	1.190	1.412	1.984	2.318	1.227
FBgn0004436	CG2013	Ubiquitin conjugating enzyme	20.736	24.922	20.107	13.641	17.040
FBgn0004449	CG5723	Tenascin major	0.196	0.305	0.731	0.344	0.208
FBgn0004456	CG1771	multiple edematous wings	5.614	3.565	4.732	1.663	1.807
FBgn0004462	CG7001	Protein kinase-like 17E	1.323	0.889	0.998	1.374	1.028
FBgn0004463	CG8344	RNA polymerase III 128kD subunit	5.451	3.499	3.904	2.837	2.525
FBgn0004465	CG4086	Suppressor of ref(2)P sterility	9.598	40.478	35.284	48.683	15.167
FBgn0004507	CG7254	Glycogen phosphorylase	7.152	9.685	6.623	13.092	7.455
FBgn0004509	CG10772	Furin 1	0.494	0.762	0.950	4.815	2.189
FBgn0004510	CG6338	Ets at 97D	0.993	0.562	0.651	0.562	0.497
FBgn0004511	CG9355	dusky	0.021	0.032	0.097	0.032	0.040
FBgn0004512	CG3879	Multi drug resistance 49	0.131	0.296	0.746	1.837	3.316
FBgn0004513	CG10181	Multiple drug resistance 65	0.149	0.256	0.089	0.436	0.591
FBgn0004514	CG7485	Octopamine-Tyramine receptor	0.051	0.018	0.026	0.764	0.037
FBgn0004516	CG14994	Glutamic acid decarboxylase 1	0.008	0.014	0.030	1.342	0.025
FBgn0004552	CG1171	Adipokinetic hormone	0.678	0.336	1.034	0.207	0.591
FBgn0004554	CG7539	Ecdysone-dependent gene 91	0.083	0.683	1.761	0.131	1.630
FBgn0004556	CG9680	Dead box protein 73D	10.537	5.299	6.750	1.794	2.150
FBgn0004567	CG2939	sloppy paired 2	0.009	0.012	0.009	0.023	0.010
FBgn0004569	CG4531	argos	9.428	2.753	5.857	2.228	1.559
FBgn0004573	CG12073	5-hydroxytryptamine (serotonin) receptor 7	0.030	0.018	0.078	0.066	0.049
FBgn0004574	CG15811	Ras opposite	6.865	11.326	14.282	19.240	10.379
FBgn0004575	CG3985	Synapsin	0.047	0.048	0.084	4.068	0.049
FBgn0004577	CG3477	Peroxidase	0.009	0.087	0.033	0.088	0.055
FBgn0004580	CG6702	Calbindin 53E	0.658	0.247	0.317	1.154	0.599
FBgn0004581	CG30170	benign gonial cell neoplasm	0.241	0.143	0.080	0.053	0.094
FBgn0004583	CG4114	expanded	0.348	0.453	0.460	0.103	0.372
FBgn0004584	CG3178	Recombination repair protein 1	8.474	4.192	2.779	1.951	1.665
FBgn0004587	CG10851	B52	7.417	6.152	4.912	4.078	3.485
FBgn0004588	CG16931	Ecdysone-induced gene 71Ea	0.187	0.117	0.081	0.169	0.135
FBgn0004589	CG7355	Ecdysone-induced gene 71Eb	0.021	0.113	0.054	0.195	0.161
FBgn0004590	CG7608	Ecdysone-induced gene 71Ec	0.042	0.052	0.010	0.096	0.000
FBgn0004591	CG7350	Ecdysone-induced gene 71Ed	0.000	0.017	0.007	0.040	0.009
FBgn0004592	CG7604	Ecdysone-induced gene 71Ee	0.013	0.034	0.032	0.069	0.003
FBgn0004593	CG7599	Ecdysone-induced gene 71Ef	0.019	0.014	0.000	0.000	0.032
FBgn0004594	CG7336	Ecdysone-induced gene 71Eg	0.000	0.021	0.000	0.000	0.000
FBgn0004595	CG17228	prospero	0.151	0.037	0.071	7.075	0.056
FBgn0004597	CG7281	Cyclin C	8.181	7.077	11.759	6.770	6.588
FBgn0004598	CG18734	Furin 2	0.136	0.194	0.103	0.200	0.130
FBgn0004603			5.282	4.721	4.949	6.859	4.707
FBgn0004606	CG1322	Zn finger homeodomain 1	0.010	0.011	0.016	0.045	0.027
FBgn0004607	CG1449	Zn finger homeodomain 2	1.528	0.639	0.790	0.583	0.251
FBgn0004611	CG4574	Phospholipase C at 21C	0.186	0.322	0.513	1.135	0.470
FBgn0004618	CG7672	glass	0.131	0.134	0.706	0.107	0.185
FBgn0004619	CG8442	Glutamate receptor IA	0.085	0.074	0.073	1.430	0.043
FBgn0004620	CG6992	Glutamate receptor IIA	0.003	0.403	0.117	0.214	0.306
FBgn0004622	CG7887	Tachykinin-like receptor at 99D	0.003	0.129	0.025	0.014	0.027
FBgn0004623	CG8770	G protein beta-subunit 76C	0.000	0.015	0.048	0.026	0.011
FBgn0004629	CG8050	Cystatin-like	371.215	366.178	380.259	780.673	1483.013
FBgn0004635	CG1004	rhomboid	12.000	7.659	4.693	7.090	17.872
FBgn0004636	CG1956	Roughened	62.517	60.816	73.727	74.844	53.124
FBgn0004638	CG6033	downstream of receptor kinase	13.593	11.774	8.785	4.434	7.221
FBgn0004643	CG9900	mitotic 15	2.439	1.541	1.946	3.722	1.649
FBgn0004644	CG4637	hedgehog	1.563	5.071	5.522	4.798	6.298
FBgn0004646	CG3039	optic ganglion reduced	0.023	0.208	0.145	0.033	0.637
FBgn0004647	CG3936	Notch	13.038	5.554	6.996	0.379	2.088
FBgn0004648	CG4122	silver	0.883	0.983	1.962	36.035	1.369
FBgn0004649	CG1372	yolkless	0.021	0.020	0.026	0.020	0.020
FBgn0004650	CG11411	female sterile (1) Nasrat	0.005	0.013	0.007	0.008	0.004
FBgn0004652	CG14307	fruitless	0.799	0.262	0.428	0.694	0.157
FBgn0004654	CG3724	Phosphogluconate dehydrogenase	4.974	8.290	5.225	3.499	17.766
FBgn0004655	CG3707	wings apart-like	0.882	0.971	0.961	0.652	0.841
FBgn0004656	CG2252	female sterile (1) homeotic	3.648	2.312	2.805	2.973	2.589
FBgn0004657	CG1560	myospheroid	55.435	61.061	74.223	27.387	55.931
FBgn0004666	CG7771	single-minded	0.012	0.015	0.011	0.008	0.026
FBgn0004687	CG3201	Myosin light chain cytoplasmic	93.819	99.806	87.379	71.953	78.174
FBgn0004698	CG8153	mutagen-sensitive 210	5.606	3.502	2.466	1.457	1.690
FBgn0004777	CG2342	Ccp84Ag	0.000	0.011	0.032	0.002	0.000
FBgn0004778	CG1331	Ccp84Af	0.000	0.000	0.000	0.000	0.000
FBgn0004779	CG1330	Ccp84Ae	0.000	0.004	0.006	0.007	0.018
FBgn0004780	CG2341	Ccp84Ad	0.003	0.000	0.000	0.000	0.000
FBgn0004781	CG1327	Ccp84Ac	0.000	0.000	0.000	0.000	0.000
FBgn0004782	CG1252	Ccp84Ab	0.000	0.000	0.000	0.006	0.000
FBgn0004783	CG2360	Ccp84Aa	0.000	0.007	0.000	0.000	0.000
FBgn0004784	CG6518	inactivation no afterpotential C	0.004	0.013	0.004	0.012	0.085
FBgn0004795	CG5403	retained	0.040	1.067	1.064	0.032	1.765
FBgn0004797	CG31991	midway	8.237	2.720	3.647	2.691	2.415
FBgn0004811	CG10528	female sterile (2) ltoPP43	3.734	2.501	3.518	1.686	1.986
FBgn0004828	CG8989	Histone H3.3B	291.144	192.866	207.930	241.666	167.526
FBgn0004832	CG6358	Xeroderma pigmentosum group A-like	1.913	1.429	1.155	1.655	1.009
FBgn0004837	CG3497	Suppressor of Hairless	1.002	0.987	1.673	2.557	1.121
FBgn0004838	CG10377	Heterogeneous nuclear ribonucleoprotein at 27C	7.833	5.334	7.977	5.735	5.823
FBgn0004839	CG8967	off-track	2.253	1.289	0.833	2.417	0.950
FBgn0004841	CG6515	Tachykinin-like receptor at 86C	0.007	0.019	0.009	0.117	0.009
FBgn0004842	CG5811	RYamide receptor	0.031	0.005	0.028	0.921	0.088
FBgn0004852	CG7978	Adenylyl cyclase 76E	5.805	7.782	4.969	2.681	2.439
FBgn0004854	CG5488	BarH2	0.016	0.005	0.020	0.014	0.010
FBgn0004855	CG3284	RNA polymerase II 15kD subunit	31.002	37.341	30.857	15.077	20.201
FBgn0004856	CG8264	Bx42	11.279	7.651	8.714	12.772	6.222
FBgn0004858	CG4220	elbow B	18.380	15.082	11.867	11.477	9.461
FBgn0004859	CG2125	cubitus interruptus	0.103	0.126	0.040	0.063	0.131
FBgn0004860	CG3895	polyhomeotic distal	0.014	0.014	0.017	0.031	0.014
FBgn0004861	CG18412	polyhomeotic proximal	0.873	0.774	0.559	1.356	0.586
FBgn0004862	CG7902	bagpipe	0.000	0.087	0.075	0.015	0.252
FBgn0004863	CG7937	C15	0.000	0.003	0.004	0.002	0.000
FBgn0004864	CG1594	hopscotch	1.749	1.310	1.889	2.069	1.303
FBgn0004865	CG18023	Ecdysone-induced protein 78C	0.109	0.711	0.466	0.485	0.368
FBgn0004867	CG5920	Ribosomal protein S2	2888.445	2474.568	1936.194	791.025	1409.978
FBgn0004868	CG4422	GDP dissociation inhibitor	48.185	65.481	100.013	166.793	114.162
FBgn0004870	CG9097	bric a brac 1	0.146	0.078	0.120	0.108	0.233
FBgn0004872	CG6122	piwi	0.545	0.220	0.079	0.044	0.195
FBgn0004875	CG10847	encore	0.863	0.618	0.844	1.230	0.434
FBgn0004876	CG6027	center divider	7.981	3.791	10.619	24.794	11.882
FBgn0004878	CG2102	castor	0.127	0.153	0.638	0.167	0.032
FBgn0004880	CG1130	scratch	0.044	0.039	0.481	0.240	0.046
FBgn0004882	CG10868	oo18 RNA-binding protein	0.022	0.027	0.026	0.033	0.018
FBgn0004885	CG6863	tolkin	0.014	0.006	0.017	0.235	0.011
FBgn0004888	CG1065	Succinyl coenzyme A synthetase alpha subunit	114.578	181.034	146.333	90.597	170.818
FBgn0004889	CG6235	twins	2.561	1.492	1.791	3.319	1.516
FBgn0004892	CG3242	sister of odd and bowl	2.798	3.441	3.145	0.398	2.212
FBgn0004893	CG10021	brother of odd with entrails limited	0.281	0.972	0.703	0.878	0.951
FBgn0004895	CG1132	forkhead domain 64A	0.017	0.027	0.014	0.040	0.012
FBgn0004896	CG3668	forkhead domain 59A	0.037	0.071	0.110	0.037	0.017
FBgn0004897	CG11921	forkhead domain 96Ca	0.005	0.006	0.003	0.011	0.003
FBgn0004898	CG11922	forkhead domain 96Cb	0.032	0.031	0.026	0.032	0.334
FBgn0004901	CG2867	Phosphoribosylamidotransferase	1.872	1.605	2.099	1.878	1.706
FBgn0004903	CG6354	Ribonuclear protein at 97D	0.900	1.696	2.579	2.091	0.901
FBgn0004907	CG17870	14-3-3zeta	35.456	36.767	37.142	38.225	33.142
FBgn0004908	CG7435	ADP ribosylation factor-like 2	13.345	17.677	14.393	17.668	9.698
FBgn0004910	CG15855	Ecdysone-induced protein 63F 1	1.502	3.455	8.040	12.509	13.407
FBgn0004911	CR32265	Ecdysone-induced protein 63F 2	0.174	0.663	0.584	0.192	0.614
FBgn0004913	CG1119	Germ line transcription factor 1	2.468	1.280	1.490	1.125	1.257
FBgn0004914	CG9310	Hepatocyte nuclear factor 4	2.820	4.172	2.662	2.140	5.958
FBgn0004915	CG5193	Transcription factor IIB	6.567	6.937	7.033	6.422	5.744
FBgn0004919	CG2679	goliath	0.194	0.310	0.245	2.676	0.446
FBgn0004921	CG8261	G protein gamma 1	82.602	66.683	87.766	138.078	69.586
FBgn0004924	CG6146	Topoisomerase 1	1.400	2.267	1.582	1.303	1.109
FBgn0004926	CG4153	Eukaryotic initiation factor 2beta	284.106	294.031	272.809	119.099	146.802
FBgn0004956	CG5993	outstretched	0.022	0.054	0.053	0.034	0.023
FBgn0004957	CG6205	porcupine	0.266	0.344	0.408	0.581	0.296
FBgn0004959	CG6578	phantom	0.003	0.000	0.000	0.010	0.004
FBgn0005198	CG6975	gigas	0.994	1.086	0.953	0.989	1.055
FBgn0005278	CG2674	S-adenosylmethionine Synthetase	10.745	9.488	7.737	3.299	3.004
FBgn0005322	CG5395	no mitochondrial derivative	23.002	29.274	24.802	24.228	21.712
FBgn0005355	CG6054	Suppressor of fused	7.994	4.951	7.300	10.285	4.975
FBgn0005386	CG8887	"absent, small, or homeotic discs 1"	0.439	0.323	0.416	0.534	0.426
FBgn0005390	CG4790	female sterile (1) M3	0.007	0.009	0.003	0.116	0.002
FBgn0005391	CG2979	Yolk protein 2	0.053	0.527	0.143	0.472	34.394
FBgn0005410			0.555	0.431	0.407	0.488	0.338
FBgn0005411	CG9998	U2 small nuclear riboprotein auxiliary factor 50	37.891	26.712	24.762	24.447	14.971
FBgn0005427	CG3114	erect wing	0.616	0.215	0.306	0.639	0.215
FBgn0005533	CG3922	Ribosomal protein S17	9355.721	7946.501	7002.713	3227.493	5039.080
FBgn0005536	CG32156	Myosin binding subunit	0.472	0.607	0.739	0.656	0.545
FBgn0005558	CG1464	eyeless	0.019	0.030	0.013	0.133	0.019
FBgn0005561	CG11049	shaven	0.008	0.038	0.005	0.028	0.004
FBgn0005564	CG9262	Shaker cognate l	0.551	0.195	0.314	2.353	0.104
FBgn0005585	CG9429	Calreticulin	917.127	1057.909	1030.204	1396.710	789.085
FBgn0005586	CG7576	Rab3	0.747	0.380	0.709	53.088	0.722
FBgn0005590	CG31695	screw	0.008	0.026	0.011	0.042	0.067
FBgn0005592	CG32134	breathless	0.210	0.564	1.366	0.096	0.332
FBgn0005593	CG4897	Ribosomal protein L7	7275.100	7406.299	6355.842	2362.066	4499.164
FBgn0005596	CG14513	yemanuclein alpha	0.863	0.706	0.757	0.500	0.541
FBgn0005612	CG3090	Sox box protein 14	5.592	6.018	3.801	7.746	3.275
FBgn0005613	CG8404	Sox box protein 15	0.010	0.051	0.040	0.019	0.053
FBgn0005614	CG18345	transient receptor potential-like	0.000	0.006	0.006	0.177	0.016
FBgn0005616	CG3241	male-specific lethal 2	0.247	0.428	0.977	0.538	0.479
FBgn0005617	CG10385	male-specific lethal 1	1.734	1.671	2.121	1.546	1.394
FBgn0005619	CG3454	Histidine decarboxylase	0.127	0.224	0.277	0.229	0.244
FBgn0005624	CG3886	Posterior sex combs	2.084	5.131	1.710	3.642	1.863
FBgn0005626	CG10118	pale	0.111	5.600	5.633	0.212	3.000
FBgn0005630	CG12052	longitudinals lacking	3.057	2.321	2.623	3.147	2.398
FBgn0005631	CG13521	roundabout	1.033	0.955	1.124	1.164	0.383
FBgn0005632	CG1945	fat facets	0.898	0.426	0.771	1.236	0.609
FBgn0005633	CG7445	flightin	0.006	0.041	0.007	0.083	0.031
FBgn0005634			13.409	12.727	12.560	6.004	6.722
FBgn0005636	CG3385	nervy	0.207	0.009	0.054	2.498	0.181
FBgn0005638	CG4354	slow border cells	1.928	7.522	1.886	0.417	1.779
FBgn0005640	CG10579	Ecdysone-induced protein 63E	1.763	1.149	1.565	2.012	1.242
FBgn0005642	CG1454	wings down	17.157	13.555	10.716	5.600	6.392
FBgn0005648	CG2163	Pabp2	22.237	12.633	13.133	9.152	8.430
FBgn0005649	CG5422	Rox8	7.237	5.629	6.173	5.725	5.364
FBgn0005654	CG4088	latheo	0.000	0.000	0.000	0.000	0.000
FBgn0005655	CG9193	mutagen-sensitive 209	43.515	37.632	18.524	3.989	10.628
FBgn0005658	CG7018	Ets at 65A	0.033	0.047	0.235	0.104	0.344
FBgn0005659	CG5583	Ets at 98B	0.059	0.459	0.276	0.088	3.282
FBgn0005660	CG2914	Ets at 21C	14.960	30.351	26.163	2.597	10.349
FBgn0005664	CG16963	Crystallin	1.847	15.242	14.097	2.445	48.735
FBgn0005666	CG32019	bent	0.013	0.014	0.035	0.021	0.049
FBgn0005670	CG3656	Cytochrome P450-4d1	0.010	0.066	1.975	1.016	4.024
FBgn0005671	CG17369	Vacuolar H[+]-ATPase 55kD subunit	44.926	47.071	112.576	151.807	150.950
FBgn0005672	CG10334	spitz	24.119	10.907	8.907	10.892	5.495
FBgn0005674	CG5394	Glutamyl-prolyl-tRNA synthetase	11.397	7.336	9.543	4.365	4.638
FBgn0005677	CG4952	dachshund	0.050	0.083	0.026	1.415	0.138
FBgn0005683	CG5354	pineapple eye	0.559	0.259	0.407	0.424	0.121
FBgn0005694	CG5683	Adult enhancer factor 1	1.605	1.548	1.955	1.803	1.602
FBgn0005695	CG8411	germ cell-less	4.870	3.116	3.076	3.109	2.462
FBgn0005696	CG5923	DNA polymerase alpha 73kD	0.993	0.879	0.707	0.495	0.226
FBgn0005771	CG4491	no ocelli	26.658	16.059	19.245	25.381	28.110
FBgn0005775	CG7503	Connectin	0.196	0.070	0.221	0.638	0.126
FBgn0005777	CG8402	Protein phosphatase D3	3.628	5.178	8.078	3.117	4.336
FBgn0005778	CG10138	Protein phosphatase D5	0.000	0.005	0.000	0.006	0.000
FBgn0005779	CG8822	Protein phosphatase D6	0.015	0.006	0.029	0.000	0.003
FBgn0008635	CG6223	beta-coatomer protein	23.402	26.357	21.893	23.828	19.745
FBgn0008636	CG33152	homeobrain	0.320	0.010	0.057	14.786	0.076
FBgn0008646	CG9930	E5	0.004	0.001	0.106	0.030	0.005
FBgn0008651	CG6570	ladybird late	0.001	0.000	0.001	0.000	0.000
FBgn0008654			0.698	0.934	0.654	1.519	0.685
FBgn0010014	CG4209	Calcineurin B	1.592	0.673	7.631	131.536	3.271
FBgn0010015	CG1455	Calcineurin A1	0.013	0.013	0.016	0.016	0.038
FBgn0010019	CG3972	Cytochrome P450-4g1	0.013	0.040	0.020	0.028	0.039
FBgn0010038	CG4181	Glutathione S transferase D2	5518.641	4750.705	3218.494	252.609	3080.208
FBgn0010039	CG4381	Glutathione S transferase D3	366.534	184.438	130.426	16.338	95.668
FBgn0010040	CG11512	Glutathione S transferase D4	28.908	21.588	40.639	37.234	36.031
FBgn0010041	CG12242	Glutathione S transferase D5	116.449	136.015	85.903	110.749	106.929
FBgn0010042	CG4423	Glutathione S transferase D6	5.038	16.026	5.675	18.716	15.039
FBgn0010043	CG4371	Glutathione S transferase D7	7.425	7.729	47.059	93.238	54.475
FBgn0010044	CG4421	Glutathione S transferase D8	6.508	6.211	37.097	100.624	42.526
FBgn0010051	CG1063	"Inositol 1,4,5,-tris-phosphate receptor"	0.073	0.131	0.118	0.096	0.123
FBgn0010052	CG8425	Juvenile hormone esterase	0.051	0.193	0.051	0.060	0.133
FBgn0010053	CG15101	Juvenile hormone epoxide hydrolase 1	23.652	35.132	47.609	41.282	79.951
FBgn0010078	CG3661	Ribosomal protein L23	16250.629	15087.036	14298.731	6896.600	12538.527
FBgn0010097	CG17566	gamma-Tubulin at 37C	0.029	0.122	0.112	0.006	0.025
FBgn0010100	CG9244	Aconitase	17.235	18.139	29.962	11.644	25.940
FBgn0010105	CG17943	commissureless	1.680	2.043	1.288	8.077	2.166
FBgn0010109	CG8704	deadpan	1.261	2.913	0.333	0.194	0.138
FBgn0010113	CG15532	headcase	14.467	3.848	5.136	1.783	2.073
FBgn0010114	CG2040	hikaru genki	0.000	0.007	0.051	0.371	0.002
FBgn0010173	CG9633	Replication Protein A 70	29.474	39.497	18.722	32.346	23.720
FBgn0010194	CG6407	Wnt oncogene analog 5	0.245	0.201	0.160	0.386	0.091
FBgn0010197	CG33114	Guanyl cyclase at 32E	0.008	0.042	0.016	0.015	0.030
FBgn0010198	CG2033	Ribosomal protein S15Aa	1343.944	1389.575	1180.607	754.046	1021.502
FBgn0010213	CG8905	Superoxide dismutase 2 (Mn)	141.804	155.632	165.039	91.406	101.982
FBgn0010215	CG17947	alpha Catenin	17.158	14.049	16.794	24.560	13.843
FBgn0010217	CG11154	ATP synthase-beta	206.222	329.503	313.909	205.624	175.640
